modelType, epochs,inputDim, xLenght, yLenght, learningRate, unitsHiddenLayer, typeTraining, trainingSize,miniBatchSize, typeAF, lossTraint, lossTest,RMSE,DiffMaxMin,stdDev,BestPrevIteration,BestLoss,BestStd,ratioPeaks, folder,Comments,preproFile,
lstm_unguided,50000,1,15,5,0.001,50,RB,437,100,sigmoid,0,0.247,569,1,0.34,,,,,20-05-04_12-55,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,RB,437,100,sigmoid,0.001,0.26,583,1,0.36,,,,,20-05-03_16-40,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,RB,499,100,sigmoid,0.071,0.11,380,0.87,0.04,,,,,20-05-03_18-43,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,RB,499,100,sigmoid,0,0.202,515,1,0.31,,,,,20-05-03_19-27,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,RB,499,100,sigmoid,0,0.216,531,1,0.33,,,,,20-05-03_20-34,,./Data/Median_Quant/law.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,375,100,sigmoid,0.004,0.09,721,1,0.26,,,,,20-05-03_23-14,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,375,100,sigmoid,0,0.544,2269,0.98,0.14,,,,,20-05-03_23-46,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,375,100,sigmoid,0.005,0.136,1129,0.86,0.15,,,,,20-05-04_00-37,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,437,100,sigmoid,0.012,0.265,570,1,0.29,,,,,20-05-04_02-04,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,437,100,sigmoid,0,0.17,468,0.92,0.16,,,,,20-05-04_02-46,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,437,100,sigmoid,0,0.286,590,0.95,0.25,,,,,20-05-04_03-54,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,499,100,sigmoid,0.067,0.67,935,0.9,0.22,,,,,20-05-04_05-52,,./Data/Median_Quant/law.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,499,100,sigmoid,0,0.355,677,0.99,0.19,,,,,20-05-04_06-34,,./Data/Median_Quant/law.csv,
lstm_guided,500,1,15,5,0.001,10,RB,437,300,sigmoid,0.084,0.232,551,0.08,0.03,,,,,20-05-04_09-20,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.01,10,FB,375,100,sigmoid,0,0.707,2502,1,0.36,,,,,20-05-04_16-58,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.001,50,FB,375,100,sigmoid,0,0.708,2596,0.77,0.08,,,,,20-05-04_17-25,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,FB,375,100,sigmoid,0.002,0.174,1236,0.84,0.17,,,,,20-05-04_18-16,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.01,10,FB,437,100,sigmoid,0.007,0.672,938,0.47,0.03,,,,,20-05-04_19-48,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.001,50,FB,437,100,sigmoid,0,0.299,622,0.99,0.25,,,,,20-05-04_20-37,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,FB,437,100,sigmoid,0,0.245,566,0.96,0.14,,,,,20-05-04_21-58,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.01,10,FB,499,100,sigmoid,0.011,0.73,979,0.09,0,,,,,20-05-04_23-59,,./Data/Median_Quant/law.csv,
lstm_guided,50000,1,15,5,0.001,50,FB,499,100,sigmoid,0,0.313,638,0.98,0.18,,,,,20-05-05_00-39,,./Data/Median_Quant/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,FB,499,100,sigmoid,0.001,0.249,559,0.94,0.23,,,,,20-05-05_01-47,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,FB,375,100,sigmoid,0.01,0.015,376,0,0,,,,,20-05-05_03-41,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,FB,375,100,sigmoid,0.001,0.028,513,0.99,0.11,,,,,20-05-05_04-15,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,FB,375,100,sigmoid,0.006,0.027,503,1,0.12,,,,,20-05-05_05-05,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,FB,437,100,sigmoid,0.081,0.141,431,0.56,0.03,,,,,20-05-05_06-23,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,FB,437,100,sigmoid,0,0.23,548,1,0.31,,,,,20-05-05_07-07,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,FB,437,100,sigmoid,0.008,0.288,614,1,0.38,,,,,20-05-05_08-15,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,FB,499,100,sigmoid,0.08,0.107,375,0.74,0.03,,,,,20-05-05_10-06,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,FB,499,100,sigmoid,0,0.207,520,1,0.32,,,,,20-05-05_10-50,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,FB,499,100,sigmoid,0.01,0.226,544,1,0.35,,,,,20-05-05_12-04,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,AD,375,100,sigmoid,0.006,0.018,412,0.98,0.06,,,,,20-05-05_20-37,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,AD,375,100,sigmoid,0.006,0.018,408,0.88,0.06,,,,,20-05-05_20-56,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,AD,375,100,sigmoid,0.005,0.021,442,0.72,0.08,,,,,20-05-05_21-32,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,AD,437,100,sigmoid,0.084,0.17,471,0.96,0.13,,,,,20-05-05_22-39,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,AD,437,100,sigmoid,0,0.252,574,1,0.34,,,,,20-05-05_23-01,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,AD,437,100,sigmoid,0.006,0.301,627,1,0.4,,,,,20-05-05_23-40,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,AD,499,100,sigmoid,0.046,0.151,444,1,0.22,,,,,20-05-06_00-57,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,AD,499,100,sigmoid,0,0.213,527,1,0.34,,,,,20-05-06_01-20,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,AD,499,100,sigmoid,0.005,0.214,530,1,0.34,,,,,20-05-06_02-07,,./Data/Median_Quant/law.csv,
lstm_unguided,500,1,15,5,0.01,10,AD,375,100,sigmoid,0.009,0.015,376,0,0,,,,,20-05-06_08-02,,./Data/With_Features/law.csv,
lstm_unguided,500,1,15,5,0.01,10,AD,375,100,sigmoid,0.009,0.015,376,0,0,,,,,20-05-06_08-04,,./Data/With_Features/law.csv,
lstm_unguided,500,1,15,5,0.01,10,AD,437,100,sigmoid,0.057,0.154,449,0.87,0.14,,,,,20-05-06_08-08,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,100,1,15,5,0.01,10,AD,437,100,sigmoid,0.078,0.136,422,0.12,0.03,,,,,20-05-06_08-23,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,100,1,15,5,0.01,10,AD,375,100,sigmoid,0.009,0.015,375,0,0,,,,,20-05-06_08-25,,./Data/With_Features/law.csv,
lstm_unguided,100,1,15,5,0.01,10,AD,499,100,sigmoid,0.076,0.108,377,0.01,0,,,,,20-05-06_08-26,,./Data/Median_Quant/law.csv,
lstm_unguided,100,1,15,5,0.01,10,AD,499,100,sigmoid,0.076,0.108,377,0,0.0003,,,,,20-05-06_10-37,,./Data/Median_Quant/law.csv,
lstm_unguided,1000,1,15,5,0.001,10,AD,499,100,sigmoid,0.076,0.108,377,0.02,0.0035,,,,,20-05-06_10-39,,./Data/Median_Quant/law.csv,
lstm_unguided,1000,1,15,5,0.001,10,AD,499,100,sigmoid,0.074,0.106,373,0.11,0.0286,,,,,20-05-06_10-43,,./Data/Median_Quant/law.csv,
lstm_unguided,1000,1,15,5,0.001,20,AD,499,100,sigmoid,0.075,0.108,376,0.05,0.0086,,,,,20-05-06_10-44,,./Data/Median_Quant/law.csv,
lstm_unguided,1000,1,15,5,0.0001,20,AD,499,100,sigmoid,0.076,0.109,377,0.01,0.0036,,,,,20-05-06_10-45,,./Data/Median_Quant/law.csv,
lstm_unguided,5000,1,15,5,0.0001,20,AD,499,100,sigmoid,0.072,0.109,377,0.23,0.0517,,,,,20-05-06_10-46,,./Data/Median_Quant/law.csv,
lstm_unguided,5000,1,15,5,0.0001,30,AD,499,100,sigmoid,0.073,0.106,373,0.12,0.0303,,,,,20-05-06_11-32,,./Data/Median_Quant/law.csv,
lstm_unguided,100,1,15,5,0.0001,30,AD,499,100,sigmoid,0.154,0.155,451,0.07,0.0234,,,,,20-05-06_12-16,,./Data/Median_Quant/law.csv,
lstm_unguided,100,1,15,5,0.0001,30,AD,437,100,sigmoid,0.162,0.165,465,0.04,0.0132,,,,,20-05-06_12-17,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,100,1,15,5,0.0001,30,AD,375,100,sigmoid,0.144,0.131,1119,0.02,0.0067,,,,,20-05-06_12-19,,./Data/With_Features/law.csv,
lstm_unguided,100,1,15,5,0.0001,30,AD,375,100,sigmoid,0.246,0.228,1475,0.02,0.0053,,,,,20-05-06_17-44,,./Data/With_Features/law.csv,
lstm_unguided,100,1,15,5,0.0001,30,AD,437,100,sigmoid,0.164,0.166,467,0.05,0.0169,,,,,20-05-06_17-45,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,100,1,15,5,0.0001,30,AD,499,100,sigmoid,0.152,0.154,449,0.04,0.0151,,,,,20-05-06_17-46,,./Data/Median_Quant/law.csv,
lstm_unguided,50,1,15,5,0.0001,30,AD,499,100,sigmoid,0.247,0.233,553,0.02,0.0083,,,,,20-05-06_20-05,,./Data/Median_Quant/law.csv,
lstm_guided,50,1,15,5,0.0001,30,AD,499,100,sigmoid,0.196,0.206,519,0.02,0,,,,,20-05-06_20-06,,./Data/Median_Quant/law.csv,
lstm_guided,50,1,15,5,0.0001,30,AD,499,100,sigmoid,0.199,0.193,503,0.03,0,,,,,20-05-06_20-07,,./Data/Median_Quant/law.csv,
lstm_unguided,50,1,15,5,0.0001,30,AD,499,100,sigmoid,0.21,0.201,514,0.03,0.0084,,,,,20-05-06_20-09,,./Data/Median_Quant/law.csv,
lstm_unguided,100,1,15,5,0.0001,30,AD,499,100,sigmoid,0.148,0.15,444,0.04,0.0137,,,,,20-05-06_20-37,,./Data/Median_Quant/law.csv,
lstm_unguided,500,1,15,5,0.001,30,AD,499,100,sigmoid,0.07,0.11,379,0.37,0.078,,,,,20-05-06_20-38,,./Data/Median_Quant/law.csv,
lstm_unguided,500,1,15,5,0.001,30,AD,499,100,sigmoid,0.071,0.109,377,0.26,0.0626,,,,,20-05-06_20-40,,./Data/Median_Quant/law.csv,
lstm_unguided,1000,1,15,5,0.001,30,RB,499,100,sigmoid,0.053,0.152,444,0.92,0.2159,,,,,20-05-06_20-42,,./Data/Median_Quant/law.csv,
lstm_unguided,1000,1,15,5,0.001,30,RB,499,100,sigmoid,0.053,0.128,410,0.86,0.1694,401,,,,20-05-06_21-00,,./Data/Median_Quant/law.csv,
lstm_unguided,500,1,15,5,0.001,30,AD,499,100,sigmoid,0.071,0.11,380,0.28,0.0656,499,292.587056680774,0.060712155,1,20-05-07_22-18,,./Data/Median_Quant/law.csv,
lstm_unguided,500,1,15,5,0.001,30,AD,499,100,sigmoid,0.071,0.108,377,0.25,0.0556,1,0,tensor([inf]),0,1,20-05-07_22-34,,./Data/Median_Quant/law.csv
lstm_unguided,500,1,15,5,0.001,30,AD,499,100,sigmoid,0.073,0.108,376,0.19,0.0442,1,0,inf,0,1,20-05-07_22-53,,./Data/Median_Quant/law.csv
lstm_unguided,1000,1,15,5,0.001,30,AD,499,100,sigmoid,0.066,0.114,386,0.59,0.1008,1,751,292,0.061352,1,20-05-07_22-57,,./Data/Median_Quant/law.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,375,100,sigmoid,0.008,0.016,388,0.96,0.033,0.994984621178834,25001,237,0.018690558,0.998228043143297,20-05-07_23-20,,./Data/With_Features/law.csv
lstm_unguided,50000,1,15,5,0.001,50,RB,375,100,sigmoid,0.001,0.024,475,0.93,0.1032,1,22501,238,0.020014832,0.997945557267591,20-05-08_06-54,,./Data/With_Features/law.csv
lstm_unguided,50000,1,15,5,0.0001,100,RB,375,100,sigmoid,0.003,0.021,448,0.97,0.0863,1,10001,236,0.01813854,1,20-05-08_07-44,,./Data/With_Features/law.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,437,100,sigmoid,0.076,0.143,433,0.26,0.0316,1,30001,305,0.07869487,1,20-05-08_09-06,,./Data/DropCloseDate_Quant/law.csv
lstm_unguided,50000,1,15,5,0.001,50,RB,437,100,sigmoid,0,0.244,565,1,0.3246,0.994748234221918,5001,440,0.27189463,0.999232395020438,20-05-08_09-51,,./Data/DropCloseDate_Quant/law.csv
lstm_unguided,50000,1,15,5,0.0001,100,RB,437,100,sigmoid,0.001,0.271,597,1,0.3497,0.965991114149009,2501,322,0.103462346,0.963496376811594,20-05-08_10-59,,./Data/DropCloseDate_Quant/law.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,499,100,sigmoid,0.074,0.109,379,0.31,0.043,1,45001,287,0.063318364,1,20-05-08_12-44,,./Data/Median_Quant/law.csv
lstm_unguided_attn,500,1,15,5,0.001,40,RB,375,100,sigmoid,0.006,0.015,378,0.09,0.0111,1,1,283,0.029213257,1,20-05-08_13-29,,./Data/With_Features/law.csv
lstm_unguided_attn,1000,1,15,5,0.0001,30,RB,375,100,sigmoid,0.009,0.015,376,0.02,0.0017,1,51,280,0.023842953,1,20-05-08_13-32,,./Data/With_Features/law.csv
lstm_unguided,50000,1,15,5,0.001,50,RB,499,100,sigmoid,0,0.194,505,1,0.3061,0.999352336122734,17501,402,0.24693312,0.999328434302591,20-05-08_13-26,,./Data/Median_Quant/law.csv
lstm_unguided,50000,1,15,5,0.0001,100,RB,499,100,sigmoid,0.001,0.219,536,1,0.3388,0.961563807531381,2501,317,0.11060575,0.954943567385113,20-05-08_14-33,,./Data/Median_Quant/law.csv
