Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Structural-Car into Building,2655 Richmond Ave,Staten Island,06/08/2012 08:17:55 PM,06/08/2012 10:02:58 PM,40.5822908425,-74.1690569986
Fire-2nd Alarm,50  E 191 Street,Bronx,06/09/2012 03:51:44 AM,06/09/2012 05:16:52 AM,40.8639739677,-73.8982099579
Transportation-Train Subway,103 ST  & Broadway,Manhattan,06/09/2012 10:15:48 AM,06/09/2012 11:34:42 AM,40.7991021199,-73.968541038
Fire-House of Worship - Synagogue,200 Amsterdam Ave,Manhattan,06/10/2012 05:58:30 PM,06/10/2012 07:14:11 PM,40.7767795058,-73.9829868042
Fire-2nd Alarm,165 Richmond Street,Brooklyn,06/11/2012 02:13:42 PM,06/11/2012 07:13:53 PM,40.6834124143,-73.8768594424
Fire-1st Alarm,4 World Trade Center,Manhattan,06/12/2012 11:35:33 AM,06/12/2012 12:37:43 PM,40.7100306132,-74.0114630292
Transportation-School Bus,Southern Blvd & E Tremont,Bronx,06/13/2012 08:14:22 AM,06/13/2012 12:20:54 PM,40.8427099656,-73.8856614944
Structural-Construction Accident,65 Fifth Avenue,Manhattan,06/14/2012 12:44:52 PM,06/14/2012 01:08:33 PM,40.7356560813,-73.993858534
Utility-Gas High Pressure,West 251 Street & Broadway,Bronx,06/14/2012 12:19:11 PM,06/14/2012 02:10:26 PM,40.8958055625,-73.8967071466
Rescue-Confined Space,300 Western Avenue,Staten Island,06/16/2012 11:13:47 AM,06/16/2012 01:42:23 PM,40.6337544804,-74.1825180233
Law Enforcement-Suspicious Package,W 32 St & 7 th Ave,Manhattan,06/17/2012 12:23:21 PM,06/17/2012 01:09:07 PM,,
Transportation-School Bus,150 St & 87Ave,Queens,06/18/2012 06:38:37 AM,06/18/2012 08:04:57 AM,40.7080610712,-73.8072874182
Utility-Water Main,686 Lexington Ave,Manhattan,06/17/2012 08:06:17 PM,06/18/2012 01:23:21 PM,40.7605470549,-73.9694219736
Structural-Partial Collapse,626 Ocean View Avenue,Brooklyn,06/19/2012 01:47:37 PM,06/19/2012 06:39:20 PM,40.5796256738,-73.9619017064
Law Enforcement-Suspicious Package,265 East 161 St,Bronx,06/19/2012 07:07:36 PM,06/19/2012 09:17:01 PM,40.8256713764,-73.9187232454
Utility-Power Outage,1925 University Ave,Bronx,06/21/2012 02:31:17 PM,06/22/2012 07:55:46 AM,40.853248528,-73.9126456633
Utility-Manhole,Park Avenue  & East 149 Street,Bronx,06/21/2012 10:48:11 AM,06/22/2012 04:01:34 PM,40.8180124965,-73.9251851473
Fire-Manhole,108-09 38 Avenue,Queens,06/22/2012 03:26:08 PM,06/22/2012 05:32:07 PM,40.7525050584,-73.8590028467
Fire-2nd Alarm,32-03 Junction Blvd,Queens,06/01/2017 04:49:06 PM,06/01/2017 06:20:40 PM,40.714003641,-73.8299893315
Law Enforcement-Suspicious Package,32-09 21 street,Queens,03/12/2018 05:26:20 PM,03/12/2018 06:10:32 PM,40.7650525594,-73.9317588556
Fire-3rd Alarm,200 East 85th Street,Manhattan,12/14/2018 10:04:38 PM,12/15/2018 01:32:28 AM,40.7779918118,-73.9542145752
Structural-Sidewalk Shed,594 Amsterdam Avenue,manhattan,02/05/2019 04:21:55 PM,02/05/2019 09:20:35 PM,40.7895230636,-73.9737091665
Fire-2nd Alarm,1454 grand concourse,bronx,09/03/2019 04:42:33 PM,09/04/2019 01:16:25 AM,40.8398301515,-73.9129186111
Structural-Falling Debris,112-39 38th Ave.,Queens,06/22/2012 08:17:25 PM,06/22/2012 09:13:52 PM,40.7536803878,-73.855044497
Fire-1st Alarm,4055 Victory Blvd,Staten Island,06/25/2012 08:54:04 AM,06/25/2012 10:31:49 AM,40.5926184522,-74.1891316201
Structural-Street Collapse,31 Street & Hoyt Avenue S,Queens,06/28/2012 08:45:55 PM,06/28/2012 09:33:16 PM,,
Structural-Collapse,222 East 62nd Street,Manhattan,06/29/2012 11:54:55 AM,06/29/2012 02:31:24 PM,40.7631339452,-73.964529411
Law Enforcement-Suspicious Package,Pearl Street & Prospect Street,Brooklyn,07/01/2012 12:51:55 PM,07/01/2012 01:19:38 PM,40.7006626502,-73.9877415477
Fire-Manhole,West 131 Street & Amsterdam Avenue,Manhattan,06/27/2012 11:51:55 AM,07/03/2012 12:00:15 PM,40.8163615833,-73.9540890723
Law Enforcement-Suspicious Package,Broadway & Vesey St,Manhattan,07/04/2012 10:17:48 AM,07/04/2012 10:46:22 AM,40.711392265,-74.0085992511
Fire-Manhole,Flatbush Ave  & Ditmas Ave,Brooklyn,07/04/2012 08:36:49 PM,07/04/2012 09:21:57 PM,40.6405826046,-73.9557161705
HazMat-Other,2001 Oriental Blvd,Brooklyn,01/10/2017 11:51:42 AM,,40.578515118,-73.9348660805
Utility-Power Outage,545  Neptune Ave,Brooklyn,07/05/2012 11:49:51 AM,07/05/2012 01:45:00 PM,40.5799006134,-73.9732558458
Law Enforcement-Suspicious Package,Lefferts Blvd & 101Ave,Queens,07/05/2012 06:38:46 PM,07/05/2012 07:45:14 PM,40.6899534136,-73.8259931594
Structural-Collapse,52 Mapleton Avenue,Staten Island,07/05/2012 09:13:55 AM,07/06/2012 09:36:05 AM,40.5738040767,-74.0914236295
Marine-Passenger Liner,West 46 Street  & 12 Avenue,Manhattan,07/08/2012 07:55:09 AM,07/08/2012 08:17:13 AM,40.7642812097,-73.9985812964
Fire-10-77 (Residential High Rise),140 East 56th Street,Manhattan,07/07/2012 12:25:07 PM,07/09/2012 10:58:30 AM,40.760127091,-73.9693535819
HazMat-Chemical,West 204 Street  & 10 Avenue,Manhattan,07/10/2012 09:33:31 AM,07/10/2012 12:02:09 PM,40.8626052512,-73.920276057
Structural-Scaffold,1177 6 Ave,Manhattan,07/11/2012 10:34:37 AM,07/11/2012 06:54:45 PM,40.7572560701,-73.9823637288
Law Enforcement-Suspicious Package,Jay Street & Willoughby Street,Brooklyn,07/12/2012 10:34:53 AM,07/12/2012 11:17:52 AM,40.692233421,-73.9872995555
Structural-Construction Accident,3 World Trade Center,Manhattan,07/13/2012 02:03:21 PM,07/13/2012 03:37:03 PM,40.7106948884,-74.0110266927
Fire-3rd Alarm,242 E 116th Street,Manhattan,07/12/2012 09:01:25 AM,07/13/2012 04:38:46 PM,40.7975148067,-73.9390158508
Fire-3rd Alarm,89 South Street,Manhattan,07/14/2012 04:02:13 PM,07/14/2012 07:06:23 PM,40.7058645713,-74.0037690739
Rescue-Confined Space,158 West 62nd Street,Manhattan,07/16/2012 11:12:05 AM,07/16/2012 01:02:15 PM,40.7717871122,-73.9850387526
Structural-Partial Collapse,552 Ovington Avenue,Brooklyn,07/16/2012 03:27:17 AM,07/16/2012 09:20:33 PM,40.6318994113,-74.01991252
Rescue-Confined Space,355 East 76 Street,Manhattan,07/17/2012 09:59:54 AM,07/17/2012 01:31:55 PM,40.7708598878,-73.9552035279
Fire-2nd Alarm,2846 Briggs Avenue,Bronx,07/15/2018 12:38:55 AM,07/15/2018 05:22:01 AM,40.8691618432,-73.8889394044
Law Enforcement-Suspicious Package,9 Metrotech Center,Brooklyn,09/10/2018 03:53:49 PM,09/10/2018 11:27:48 PM,40.694840529,-73.9845230029
Administration-Planned Event,,Brooklyn,10/07/2018 06:46:48 PM,10/09/2018 12:25:09 AM,,
HazMat-Liquid,178-36 Wexford Terrace,Queens,07/22/2019 10:37:22 AM,07/22/2019 12:54:37 PM,40.7135050424,-73.7843841783
Fire-2nd Alarm,2107 Pacific Street,Brooklyn,07/30/2019 08:34:03 AM,07/30/2019 01:24:00 PM,40.6759104893,-73.9172378819
Fire-4th Alarm,4220 Boston Road,Bronx,09/04/2019 03:45:29 PM,09/05/2019 11:44:41 PM,40.8871261785,-73.824602873
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Law Enforcement-Suspicious Package,285 Fulton Street,Manhattan,10/22/2019 04:49:37 PM,10/22/2019 06:00:28 PM,40.7122421123,-74.0120452929
Fire-2nd Alarm,111-38 159th Street,Queens,12/06/2019 04:46:51 AM,12/06/2019 06:12:15 AM,40.6897042112,-73.7899374754
Law Enforcement-Suspicious Package,Burgher Avenue & North Railroad Avenue,Staten Island,07/17/2012 08:16:53 PM,07/17/2012 09:15:59 PM,40.592419209,-74.0915787388
Utility-Water Main,52-15 11 St,Queens,07/16/2012 09:21:24 PM,07/18/2012 12:53:12 AM,40.7407982613,-73.95228629
Structural-Street Collapse,108 East 29 Street,Manhattan,07/18/2012 02:16:00 PM,07/18/2012 10:02:20 PM,40.7436806474,-73.9830205182
Utility-Water Main,West 187 Street   & Saint Nicholas Avenue,Manhattan,07/18/2012 01:45:31 PM,07/18/2012 10:05:41 PM,40.8530633438,-73.9309943913
Aviation-Unstable Cessna Sculpture,,Manhattan,07/18/2012 09:22:45 PM,07/19/2012 09:57:32 AM,,
Weather-Lightning,14 East 51 Street,Manhattan,07/18/2012 06:02:15 PM,07/19/2012 12:58:28 PM,40.7587013292,-73.9756602624
Transportation-Car,Atlantic Avenue & 138th Place,Queens,07/22/2012 04:13:27 AM,07/22/2012 06:25:42 AM,,
Utility-Gas Service Line,475  West 155 Street,Manhattan,07/24/2012 02:20:59 PM,07/24/2012 04:09:20 PM,40.8312270841,-73.9421432077
Law Enforcement-Suspicious Package,West 28th Street & Broadway,Manhattan,07/25/2012 10:32:09 PM,07/25/2012 10:47:34 PM,40.7452870262,-73.9887293942
Other-Tree On House,109-23  125th Street,Queens,07/25/2012 05:34:51 PM,07/26/2012 09:57:19 AM,40.6834696457,-73.8167618027
Fire-Haz Mat,50-18 196th Street,Queens,09/07/2018 11:55:20 AM,09/11/2018 07:24:18 PM,40.7486233658,-73.7833418474
Utility-Manhole,Queens Boulevard and 71 Avenue,Queens,10/10/2016 04:18:43 AM,,40.6874826353,-73.8303636467
Structural-Collapse,820 Dekalb Avenue,Brooklyn,07/25/2012 05:02:17 PM,07/27/2012 08:24:00 AM,40.6922641957,-73.9435547524
HazMat-Exposure to Unknown Substance,423 East 23rd Street,Manhattan,07/28/2012 12:00:20 PM,07/28/2012 04:23:35 PM,40.7364692839,-73.9777324033
Fire-4th Alarm,220 Coster Street,Bronx,07/30/2012 03:29:58 AM,07/30/2012 12:28:39 PM,40.8053646995,-73.8850321105
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Structural-Partial Collapse,109 Sherman Ave,Staten Island,09/12/2018 05:42:45 AM,,40.638462632,-74.0807190638
Fire-10-76 (Commercial High Rise Fire),139 East 57 Street,Manhattan,06/03/2017 01:42:52 PM,06/03/2017 03:52:30 PM,40.7144215406,-74.0060763804
Utility-Water Service Line,West End Avenue & West 95 Street,Manhattan,08/20/2017 04:43:18 AM,08/20/2017 10:17:06 PM,40.794579,-73.9737045
Utility-Water Main,40-06 74 Street,Queens,01/12/2018 05:55:30 AM,01/13/2018 05:26:56 AM,40.7465072762,-73.8913987229
Structural-Falling Debris,Eastbound Prospect Expressway,Brooklyn,06/23/2019 05:52:52 PM,06/24/2019 12:24:04 AM,40.6653410783,-73.9928492332
Transportation-Other,atlantic Ave & essex street,Brooklyn,09/04/2019 09:44:43 AM,09/04/2019 11:05:27 AM,40.678659,-73.882422
Utility-Power Outage,3159 Flatbush Avenue,Brooklyn,10/29/2019 08:11:03 PM,,40.589082292,-73.8995029325
HazMat-High Carbon Monoxide,871 7th avenue,manhattan,12/08/2019 10:51:54 AM,12/08/2019 04:26:22 PM,40.7645571573,-73.9806680514
Fire-6th Alarm,975 Walton Ave,Bronx,07/18/2012 12:41:14 AM,07/30/2012 04:07:43 PM,40.8292478595,-73.9228924217
Fire-10-76 (Commercial High Rise),8 Penn Plaza,Manhattan,07/30/2012 04:37:47 PM,07/30/2012 07:41:36 PM,40.7514301682,-73.9940014492
Fire-7th Alarm,3250  Fulton Street,Brooklyn,07/23/2012 03:48:59 PM,07/31/2012 02:15:19 PM,40.682809433,-73.8751190868
Fire-6th Alarm,188 1st Avenue,Manhattan,10/03/2018 02:23:13 AM,,40.7296497105,-73.9837656105
Fire-2nd Alarm,508 West 134 St,Manhattan,07/31/2012 04:46:23 PM,07/31/2012 06:56:44 PM,40.8185296547,-73.9534480975
Utility-Water Main,E 57th Street & 3rd Avenue,Manhattan,07/31/2012 04:58:29 AM,07/31/2012 07:46:41 PM,40.7602226383,-73.9674620483
Structural-Falling Debris,East 41 Street & Park Avenue,Manhattan,07/31/2012 04:28:21 PM,07/31/2012 09:45:54 PM,40.7514529554,-73.9781532848
Law Enforcement-Suspicious Package,,Manhattan,08/01/2012 01:02:49 PM,08/01/2012 01:43:18 PM,,
Fire-School,70-10 164 Street,Queens,08/01/2012 02:47:11 PM,08/01/2012 06:25:05 PM,40.7313687138,-73.8051164557
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Weather-Flooding,164 Street  & 71 Avenue,Queens,08/01/2012 12:21:06 PM,08/01/2012 09:17:29 PM,40.730454792,-73.805166034
HazMat-Chemical,22-07  41 Ave,Queens,08/01/2012 12:08:51 PM,08/01/2012 09:36:22 PM,40.7533833244,-73.9412471239
Utility-Water Main,123 W. 57th Street,Manhattan,08/02/2012 11:43:41 AM,08/02/2012 01:02:12 PM,40.7646963306,-73.9780623018
Law Enforcement-Device,120-17 178th Place,Queens,08/07/2012 01:38:48 AM,08/07/2012 02:50:18 AM,40.6848467259,-73.7649737767
Structural-Falling Debris,245 West 34 Street,Manhattan,08/05/2012 08:06:34 PM,08/07/2012 12:12:23 PM,40.7517292477,-73.9923483846
Fire-Collapse,714 39th street,Brooklyn,09/12/2018 02:09:41 PM,,40.6482169886,-73.9989069348
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Utility-Power Outage,,Brooklyn,08/30/2018 02:28:53 PM,,,
Weather-Other,,Brooklyn,08/02/2018 11:05:19 PM,,,
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Structural-Scaffold,,Brooklyn,08/03/2018 05:47:22 PM,,,
Utility-Power Outage,224 york street,Brooklyn,08/03/2018 03:09:14 PM,,40.7012822823,-73.9823302329
Structural-Stability Problem,2045 Linden Boulevard,Brooklyn,03/23/2017 07:14:08 AM,03/23/2017 09:56:07 AM,40.6603368227,-73.8870720501
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Utility-Water Main,701 West 135 Street,Manhattan,09/14/2018 09:49:55 AM,,40.8213465574,-73.9579537427
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Utility-Power Outage,,Brooklyn,08/30/2018 02:28:53 PM,,,
Fire-5th Alarm,1136 Olmstead Avenue,Bronx,06/22/2017 03:51:02 PM,06/25/2017 12:33:12 AM,40.8304184966,-73.8538065521
Law Enforcement-Explosion,145-23 222 Street,Queens,07/28/2017 05:14:42 PM,07/29/2017 01:19:16 PM,40.6632440333,-73.7567640068
Structural-Other,29 Eadie Place,Staten Island,12/09/2017 08:24:42 PM,12/09/2017 10:51:45 PM,40.6440550264,-74.0911581983
Structural-Scaffold,,Brooklyn,12/25/2017 11:27:00 AM,12/25/2017 04:41:07 PM,,
HazMat-Liquid,1808 Starr Street,Queens,08/07/2012 04:24:36 PM,08/07/2012 07:40:13 PM,40.7096153629,-73.918558162
Structural-Construction Accident,79 South 8 St,Brooklyn,08/07/2012 07:00:22 PM,08/07/2012 08:41:40 PM,40.7097874239,-73.9661881541
Fire-6th Alarm,188 1st Avenue,Manhattan,10/03/2018 02:23:13 AM,,40.7296497105,-73.9837656105
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Fire-10-76 (Commercial High Rise),1 World Trade Center,Manhattan,08/08/2012 07:58:02 AM,08/08/2012 08:56:58 AM,40.7132692891,-74.0128234893
Fire-Collapse,714 39th street,Brooklyn,09/12/2018 02:09:41 PM,,40.6482169886,-73.9989069348
Transportation-Other,,Brooklyn,09/13/2018 05:05:15 AM,,,
Structural-Partial Collapse,109 Sherman Ave,Staten Island,09/12/2018 05:42:45 AM,,40.638462632,-74.0807190638
Medical-Injured Construction Worker,1 World Trade Center,Manhattan,08/11/2012 01:12:16 PM,08/11/2012 02:32:42 PM,40.7132692891,-74.0128234893
Utility-Gas Low Pressure,Barnes Avenue & E. 216th Street,Bronx,08/07/2012 10:30:32 AM,08/11/2012 06:44:20 PM,40.8805461668,-73.861099953
Structural-Stability Problem,Vesey Street & North End Avenue,Manhattan,08/12/2012 05:58:44 PM,08/12/2012 06:49:39 PM,40.7145260371,-74.0156734491
Law Enforcement-Device,Ocean Parkway & Kings Highway,Brooklyn,08/14/2012 09:56:27 AM,08/14/2012 10:43:47 AM,40.6056753874,-73.9669611531
Fire-10-77 (Residential High Rise),2 East 61 St,Manhattan,08/14/2012 07:40:40 PM,08/14/2012 09:09:09 PM,40.7654086164,-73.9718637075
Fire-3rd Alarm,39-12 Douglaston Pkwy,Queens,08/14/2012 07:58:55 PM,08/15/2012 01:40:21 PM,40.7706360592,-73.7501179344
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Transportation-Other,,Brooklyn,08/11/2018 09:12:15 PM,,,
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Structural-Collapse,1124 Fteley Avenue,Bronx,08/09/2018 05:16:59 PM,,40.8279480139,-73.8712052767
Structural-Cracks,1505 Morris Avenue,Bronx,10/20/2018 11:32:15 AM,,40.8413183367,-73.9094455099
Fire-2nd Alarm,,Brooklyn,10/18/2018 06:06:54 PM,,,
Fire-6th Alarm,188 1st Avenue,Manhattan,10/03/2018 02:23:13 AM,,40.7296497105,-73.9837656105
Fire-2nd Alarm,560 1st Avenue,Manhattan,12/14/2016 12:11:45 PM,12/14/2016 01:30:47 PM,,
Fire-1st Alarm,826 Broadway,Manhattan,03/31/2017 07:57:15 AM,04/04/2017 10:57:11 AM,40.7144215406,-74.0060763804
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Fire-2nd Alarm,693 Flatbush Ave,Brooklyn,07/15/2018 03:03:05 PM,07/15/2018 06:43:01 PM,40.6562723747,-73.9599855098
Structural-Other,1922 Flatbush Avenue,Brooklyn,08/07/2018 07:39:35 AM,08/07/2018 07:55:48 AM,40.6227021849,-73.9370608543
Fire-Sensitive Location,1297 Arthur Kill Road,Staten Island,08/27/2018 05:36:01 PM,08/27/2018 06:56:59 PM,40.5655345953,-74.1829823737
Utility-Water Main,East 20 Street & 5th Avenue,New York,05/29/2019 08:12:21 AM,05/31/2019 03:47:22 AM,40.739661,-73.990944
Utility-Power Outage,,Brooklyn,12/09/2019 08:42:41 PM,12/09/2019 11:46:13 PM,,
Fire-Power Plant,1st Avenue & 53rd Street,Brooklyn,08/06/2012 01:07:16 AM,,40.6487439916,-74.0208761266
Fire-6th Alarm,188 1st Avenue,Manhattan,10/03/2018 02:23:13 AM,,40.7296497105,-73.9837656105
Structural-Undermining,420 Melrose Street,Brooklyn,08/15/2012 09:18:31 AM,08/16/2012 05:28:51 PM,40.7050837119,-73.926657197
Utility-Partial Power Outage,3058 W 24 Street,Brooklyn,08/17/2012 10:56:19 PM,08/18/2012 01:11:33 AM,40.5721767105,-73.9904899874
Law Enforcement-Device,305 Jerome Street,Brooklyn,08/18/2012 05:12:13 PM,08/18/2012 05:48:10 PM,40.674249753,-73.886974141
Law Enforcement-Suspicious Package,215 East 161 Street,Bronx,08/20/2012 08:57:43 AM,08/20/2012 09:36:20 AM,40.826235302,-73.9205292043
Structural-Sidewalk Shed,299 Broome Street,Manhattan,08/20/2012 01:46:19 PM,08/20/2012 08:50:29 PM,40.7186906362,-73.9921249074
Law Enforcement-Suspicious Package,83-16 Charlecote Ridge,Queens,08/21/2012 12:28:27 AM,08/21/2012 01:16:36 AM,40.7183747766,-73.7909086071
Law Enforcement-Suspicious Package,5 Avenue  & East 65 Street,Manhattan,08/21/2012 09:36:36 AM,08/21/2012 09:55:03 AM,40.7680239574,-73.9702813631
Fire-3rd Alarm,143-01 45th Avenue,Queens,08/20/2012 03:23:39 AM,08/21/2012 01:33:08 PM,40.7539055261,-73.8183113799
Structural-Car Into Building,314 Canal St,Manhattan,08/21/2012 05:43:42 PM,08/22/2012 08:56:57 AM,40.7196131236,-74.0022041906
Law Enforcement-Suspicious Package,E. 163rd Street & Southern Boulevard,Bronx,08/22/2012 08:29:41 AM,08/22/2012 09:18:06 AM,40.8209858054,-73.8916133211
Utility-Internal Water/Steam Condition,250  W est 34 Street,Manhattan,08/23/2012 12:26:44 AM,08/23/2012 11:12:23 AM,40.7517457214,-73.9924277863
Fire-2nd Alarm,110 Van Pelt Avenue,Staten Island,08/23/2012 04:16:16 PM,08/23/2012 07:13:28 PM,40.6335037864,-74.1550995339
Medical-Fumes in Court House,900 Sheridan Avenue,Bronx,08/23/2012 04:10:06 PM,08/23/2012 07:14:08 PM,40.8268723117,-73.9208717098
Fire-3rd Alarm,"144 w 19th Street, between 6th and 7th",Manhattan,12/25/2017 03:44:31 PM,,,
Fire-1st Alarm,7 Times Square,Manhattan,08/24/2012 09:05:13 AM,08/24/2012 10:26:01 AM,40.7559144698,-73.9866810213
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.7144215406,-74.0060763804
Law Enforcement-Other,10 Columbus Circle,Manhattan,10/24/2018 01:08:50 PM,,40.7680466249,-73.9824890627
Structural-Confined Space,220 East 26 Street,Manhattan,01/10/2017 12:22:54 AM,01/10/2017 01:13:11 AM,,
Utility-Other,434 Beach 54 Street,Queens,01/09/2017 12:54:45 PM,01/18/2017 03:49:17 PM,40.714003641,-73.8299893315
Structural-Falling Debris,435 West 31 Street,Manhattan,11/19/2017 03:14:36 PM,11/19/2017 11:22:25 PM,,
HazMat-Other,376 Hudson Street,Manhattan,08/15/2018 05:12:18 PM,,40.728406914,-74.0071376206
Utility-Steam Main,141 5th Avenue,Manhattan,07/19/2018 07:02:24 AM,,40.7400371879,-73.990637582
Fire-2nd Alarm,162-05 89 Avenue,Queens,10/03/2016 04:06:41 PM,,,
Law Enforcement-Explosion,300 West 234 Street,Bronx,09/27/2016 07:36:10 AM,,,
Law Enforcement-Suspicious Package,east 43 street madison,Manhattan,04/12/2018 05:30:30 PM,04/12/2018 05:59:49 PM,40.7508839979,-73.9726507594
Utility-Other,Grand Central Parkway,Queens,12/17/2018 02:00:50 AM,12/17/2018 06:08:08 AM,40.7675729224,-73.9018440931
Utility-Power Outage,Ft Hamilton Parkway  & 72nd Street,Brooklyn,07/22/2019 07:33:18 PM,07/22/2019 10:14:26 PM,40.627242,-74.014308
Fire-Residential,119 Kent Ave,Brooklyn,09/21/2019 04:34:54 PM,09/21/2019 08:14:56 PM,,
Structural-Scaffold,501 West 38th Street,Manhattan,08/25/2012 01:12:35 PM,08/25/2012 02:41:24 PM,40.7572079879,-73.99751663
Structural-Falling Debris,2300 Southern Boulevard,Bronx,08/25/2012 03:25:58 PM,08/25/2012 04:40:27 PM,40.8506691053,-73.8824199533
Transportation-Road Closure,Gowanus at 38 St Exit Ramp   & 38 St,Brooklyn,08/27/2012 07:44:53 AM,08/27/2012 11:37:51 AM,,
Structural-Collapse,134-21  231Street,Queens,08/24/2012 12:50:17 PM,08/27/2012 05:17:53 PM,40.6749944443,-73.7389290995
Medical-EMS MCI (Multiple Casualty Incident),215  E161 St,Bronx,08/27/2012 12:09:47 PM,08/27/2012 05:37:32 PM,40.826235302,-73.9205292043
Fire-Sensitive Location,430 East 67th Street,Manhattan,08/27/2012 11:11:53 PM,08/28/2012 12:00:24 AM,40.7642624059,-73.957514712
Law Enforcement-Suspicious Package,375 Greenwich Street,Manhattan,10/25/2018 05:17:18 AM,,40.7196231654,-74.0102280623
HazMat-white powder,7901 Broadway,Queens,08/28/2012 05:17:39 AM,08/28/2012 06:46:19 AM,40.7444160646,-73.8860972438
Law Enforcement-Suspicious Package,Sutphin Blvd & Archer Ave,Queens,08/28/2012 10:33:41 AM,08/28/2012 11:13:13 AM,40.7005823289,-73.8077418159
HazMat-Chemical,410 East 92 Street,Manhattan,08/29/2012 08:44:29 AM,08/29/2012 12:20:08 PM,40.780506518,-73.9461663949
Structural-Injuried Construction Worker,01 World Trade Center,Manhattan,08/29/2012 01:58:38 PM,,40.7132692891,-74.0128234893
Utility-Power Outage,2049 Bartow Avenue,Bronx,08/30/2012 12:31:59 AM,08/31/2012 05:34:42 AM,40.8694715126,-73.828582246
Structural-Stability Problem,300 East 96 Street,Manhattan,11/09/2017 02:33:16 PM,,40.7313577935,-73.9924545169
Fire-4th Alarm,1686 clay ave,Bronx,12/17/2017 05:31:57 AM,,40.8438702923,-73.904866859
Fire-4th Alarm,1163 Fulton Street,Brooklyn,12/07/2017 05:37:05 AM,,40.6810502123,-73.9551766173
Structural-Collapse,39-49 29 Street,Queens,10/28/2018 03:10:43 AM,,40.7523976877,-73.935468033
Structural-Life Safety Violations,85 Bowery,Manhattan,01/18/2018 04:19:55 PM,,40.7169155801,-73.9956129056
Law Enforcement-Suspicious Package,436 New York Avenue,Brooklyn,07/15/2017 10:06:07 AM,07/15/2017 11:24:41 AM,40.6648284621,-73.9482184478
Fire-Commercial,25 West 36th Street,Manhattan,10/06/2017 01:33:12 PM,10/06/2017 05:40:26 PM,40.7503522137,-73.9850720924
Structural-Street Collapse,278 92 St.,Brooklyn,06/28/2012 02:17:59 PM,,40.6195007694,-74.0335427803
Structural-Scaffold,324 Clinton Street,Brooklyn,07/26/2012 08:26:20 PM,,40.6856438781,-73.9965890309
Utility-Ravenswood Power Plant,38-54 Vernon Blvd,Queens,08/31/2012 09:35:21 PM,08/31/2012 11:35:38 PM,40.7590363595,-73.944479993
Structural-Car into Building,4912 Avenue D,Brooklyn,09/01/2012 12:35:40 AM,09/01/2012 02:27:30 PM,40.6420767872,-73.9301207819
Law Enforcement-Suspicious Package,884 Home St.,Bronx,09/02/2012 03:30:44 PM,09/02/2012 04:23:32 PM,40.8281591357,-73.896096707
HazMat-Ammonia Odor,1116 Flatbush Avenue,Brooklyn,09/02/2012 12:42:56 PM,09/02/2012 05:47:09 PM,40.6432567939,-73.9577575153
Utility-Sewer Service,FDR & 111 St,Manhattan,09/03/2012 10:41:49 AM,09/03/2012 12:28:42 PM,40.7918423111,-73.9355540759
Law Enforcement-Suspicious Package,42-12 Ithaca Street,Queens,09/05/2012 02:33:48 AM,09/05/2012 03:16:00 AM,40.7441886378,-73.8784216144
Fire-5th Alarm,376 Vernon Avenue,Brooklyn,01/31/2019 04:01:14 AM,,40.6961096128,-73.9358673476
Fire-Collapse,23 Park Place,Manhattan,12/21/2018 03:55:55 AM,,40.7130899295,-74.0088408934
Law Enforcement-Device,Queens Boulevard & Hoover Ave,Queens,09/05/2012 10:15:15 AM,09/05/2012 10:37:34 AM,40.7120013486,-73.825455857
Fire-Haz Mat,Northern Boulevard & 114th Street,Queens,01/04/2019 02:23:28 PM,,40.758309,-73.855602
Structural-Roadway Depression,Needham Avenue & Boller Avenue,Bronx,08/24/2012 08:32:38 PM,,40.8833331315,-73.8367774401
Structural-Sidewalk Collapse,380 Canal Street,Manhattan,09/04/2012 06:09:35 PM,09/05/2012 02:52:28 PM,40.7211940407,-74.0044265238
Law Enforcement-Haz Mat,65 Washington St,Brooklyn,09/05/2012 07:25:50 PM,09/05/2012 09:43:09 PM,40.7023069503,-73.9896274851
